id,name,type,sex,age_real,politics,county,born in
acaz,Acaz,1,m,,,Rheinland-Pfalz,
alva,Alva,1,w,,,,
azat,Azatro,1,m,,,,
bloo,Bloody32,1,m,,,Brandenburg,
chri,Chris Ares,1,m,31,,Bayern,Baden-W端rttemberg
deee,Dee Ex,1,w,41,,,Berlin
diss,Dissziplin,1,m,,,Sachsen,Brandenburg
drsu,Dr. Surabi,1,m,,,,
flak,FLAK,2,m,,,Nordrhein-Wetsfalen,
herz,Herzog,1,m,39,,Berlin,Berlin
juli,Julia Juls,1,w,,,,
kava,Kavalier,1,m,,,,
komb,Kombaat,1,m,,,Bayern,Tirol
komp,Komplott,1,m,31,,Baden-W端rttemberg,Baden-W端rttemberg
maks,MaKss Damage (MKD),1,m,36,,,Nordrhein-Westfalen
menx,Menx,1,m,,,,
micr,Mic Revolt,1,m,37,,Th端ringen,
mrbo,Mr. Bond,1,m,37,,,Tirol
ptk,PTK,1,m,36,,,Berlin
prim,Primus,1,m,,,,
prot,Prototyp,1,m,,,,Nordrhein-Westfalen
runa,Runa,1,w,,,Sachsen,
sadi,Sadi Gent,1,m,,,Berlin,Berlin
sach,Sacha Korn,1,m,49,,,Brandenburg
sash,Sash JM,1,m,36,,Niedersachsen,Ukraine
skep,Skeptika,1,m,,,Sachsen,Bayern
vill,Villian051,1,m,,,,
86ki,86 kiloherz,1,m,,,,
gond,G.O.N.D,3,,,,,
schu,Schild & Schwert-Festival,3,,,,,
bomb,Bombenprodukt,4,,,,,
nds,Neuer Deutscher Standard,4,,,,,
takt,Taktstock Records,4,,,,,
svp,sub-version-production,4,,,,,
norr,No Return Records,4,,,,,